id,values
903,1.8
904,21.5
905,20.7
906,0.9
907,1.3
908,0.9
909,0.6
910,-0.1
911,19.3
912,-0.2
913,-0.4
914,-0.7
915,18.5
916,-0.6
917,18.4
918,-1.2
919,-1.2
920,-1.4
921,1.6
922,4.2
923,4.0
924,4.6
925,4.9
926,5.2
927,24.6
928,4.6
929,3.8
930,2.9
931,2.9
932,3.5
933,3.7
934,3.5
935,3.6
936,4.1
937,4.0
938,3.6
939,22.8
940,22.9
941,4.1
942,4.6
943,4.5
944,3.0
945,2.6
946,3.7
947,3.6
948,5.7
949,4.6
950,24.0
951,4.7
952,4.9
953,23.6
954,21.6
955,1.9
956,1.8
957,1.2
958,0.9
959,1.0
960,1.1
961,0.6
962,0.8
963,1.1
964,0.8
965,0.7
966,0.6
967,19.5
968,-0.2
969,-0.3
970,0.2
971,0.9
972,1.8
973,21.9
974,2.6
975,2.6
976,2.5
977,2.2
978,2.2
979,21.4
980,21.1
981,1.8
982,21.3
983,2.1
984,20.9
985,1.3
986,0.5
987,-0.4
988,0.0
989,19.3
990,-0.3
991,19.3
992,0.6
993,20.0
994,1.4
995,21.7
996,3.5
997,4.3
998,4.7
999,5.0
1000,5.5
1001,5.0
1002,4.3
1003,4.1
1004,3.5
1005,3.0
1006,21.9
1007,1.5
1008,-0.1
1009,-0.2
1010,-0.9
1011,-1.5
1012,-1.6
1013,-0.9
1014,17.6
1015,-2.4
1016,-2.1
1017,-0.7
1018,1.0
1019,20.7
1020,1.9
1021,2.3
1022,2.5
1023,2.5
1024,22.4
1025,2.5
1026,1.0
1027,19.6
1028,0.7
1029,1.3
1030,0.9
1031,0.6
1032,0.2
1033,0.1
1034,0.1
1035,-0.8
1036,-0.5
1037,-2.5
1038,16.5
1039,-1.7
1040,19.1
1041,-0.1
1042,1.3
1043,1.0
1044,1.4
1045,2.0
1046,2.4
1047,2.2
1048,2.0
1049,1.4
1050,0.9
1051,0.5
1052,0.3
1053,0.3
1054,0.3
1055,0.3
1056,0.0
1057,0.4
1058,19.7
1059,0.7
1060,0.7
1061,0.5
1062,0.1
1063,0.0
1064,-0.1
1065,0.9
1066,2.3
1067,3.8
1068,3.8
1069,4.6
1070,5.1
1071,5.0
1072,4.6
1073,2.9
1074,1.3
1075,1.3
1076,21.2
1077,2.3
1078,2.3
1079,2.1
1080,21.2
1081,1.5
1082,20.9
1083,2.4
1084,0.8
1085,-0.5
1086,-0.5
1087,0.3
1088,19.8
1089,19.9
1090,1.1
1091,21.7
1092,3.1
1093,21.6
1094,1.9
1095,2.0
1096,0.9
1097,1.2
1098,20.2
1099,0.6
1100,0.9
1101,0.8
1102,0.6
1103,0.4
1104,0.4
1105,0.3
1106,0.1
1107,0.0
1108,-0.2
1109,-0.4
1110,18.7
1111,-0.8
1112,-1.2
1113,-1.4
1114,-1.1
1115,-1.0
1116,19.0
1117,0.1
1118,1.0
1119,0.9
1120,-0.2
1121,-0.7
1122,-0.7
1123,-0.6
1124,-0.1
1125,0.5
1126,0.5
1127,19.7
1128,0.5
1129,0.2
1130,-0.3
1131,-0.8
1132,-0.8
1133,-0.9
1134,18.3
1135,18.2
1136,-1.4
1137,17.9
1138,-1.6
1139,18.1
1140,-0.3
1141,-0.1
1142,0.1
1143,0.5
1144,19.8
1145,0.4
1146,0.7
1147,1.0
1148,1.3
1149,0.8
1150,19.5
1151,0.8
1152,1.0
1153,0.9
1154,0.8
1155,0.7
1156,20.4
1157,1.2
1158,20.6
1159,20.9
1160,21.2
1161,21.8
1162,3.5
1163,4.9
1164,24.5
1165,25.2
1166,6.5
1167,7.7
1168,27.8
1169,8.7
1170,27.5
1171,8.1
1172,7.9
1173,27.0
1174,27.0
1175,7.8
1176,7.8
1177,7.9
1178,8.1
1179,8.2
1180,28.0
1181,27.9
1182,28.3
1183,9.0
1184,8.6
1185,27.7
1186,9.1
1187,10.0
1188,9.5
1189,9.8
1190,10.8
1191,30.7
1192,11.4
1193,10.9
1194,10.2
1195,9.7
1196,28.5
1197,8.6
1198,6.1
1199,2.6
1200,20.7
1201,18.9
1202,-2.1
1203,-2.9
1204,-3.5
1205,-5.1
1206,-6.4
1207,-6.4
1208,-6.7
1209,-7.5
1210,-6.1
1211,-4.0
1212,-3.6
1213,-2.9
1214,-2.2
1215,-1.0
1216,-1.3
1217,16.8
1218,-4.7
1219,-5.0
1220,14.7
1221,-5.0
1222,-5.0
1223,-4.1
1224,-3.8
1225,-4.7
1226,-5.6
1227,-6.2
1228,-6.5
1229,-6.3
1230,-6.9
1231,-6.7
1232,-6.8
1233,-6.8
1234,-6.3
1235,-5.8
1236,-5.4
1237,-6.1
1238,-4.9
1239,-5.7
1240,12.5
1241,12.5
1242,-8.0
1243,-8.5
1244,-8.2
1245,-8.9
1246,-9.4
1247,9.9
1248,9.8
1249,-9.9
1250,-10.3
1251,-11.1
1252,-12.4
1253,6.7
1254,6.6
1255,-12.9
1256,-13.5
1257,-13.8
1258,-12.2
1259,-11.1
1260,9.2
1261,9.2
1262,-10.0
1263,-9.9
1264,9.8
1265,9.4
1266,-10.1
1267,-10.2
1268,-9.8
1269,-10.2
1270,-9.8
1271,-10.1
1272,-10.2
1273,-10.1
1274,-9.5
1275,-9.5
1276,-9.0
1277,-8.8
1278,-8.7
1279,10.9
1280,-8.4
1281,-8.0
1282,-6.0
1283,-3.8
1284,-3.4
1285,-3.0
1286,18.2
1287,-1.7
1288,-2.8
1289,-3.7
1290,13.8
1291,-5.9
1292,-4.1
1293,-3.0
1294,-2.3
1295,-2.5
1296,16.6
1297,-2.4
1298,-2.4
1299,-2.2
1300,17.6
1301,-1.7
1302,17.5
1303,-2.0
1304,-3.4
1305,15.4
1306,-4.2
1307,-4.3
1308,15.5
1309,-3.6
1310,-3.6
1311,-3.5
1312,-3.7
1313,15.4
